Proyección de Ventas,,,,,,,
A cuantas personas necesito llegar para generar $7500 en ventas mensuales?,,,,,,,
PASOS,,Día,Mes,Año,,Costos,"NOTA: 
Solo actualizar celdas celestes"
↓,Alcance →,"14,058","304,581","3,654,971",CPM,$2.05,
1,CTR →,0.60%,,,←,,
↓,URL Clics →,84,"1,827","21,930",CPC,$0.34,
2,% Agenda →,6%,,,←,,
↓,Llamadas Agendadas →,5,104,"1,250",CPB,$6.00,
3,% Asistencia →,30.00%,,,←,,
↓,Llamadas →,1,31,375,CPQBC,$20.00,0.27%
4,CRV →,16.00%,,,←,,
↓,VENTAS →,0.23,5,60,Target CPA,$125.00,
5,PRECIO →,"$1,500.00",,,Upfront Cash,$500.00,
6,Ingreso →,$247,"$7,500","$90,000",Presupuesto,$625.00,
↓,Ingresos por URL Clics →,,,$4.10,,,
↓,,,,,,,
7,"Para facturar $7.5K en un mes con una AOV (Orden de Compra Promedio) de $1500, se necesita 5 ventas por mes. El 16% de los se presentan a la llamada compran, vas a necesitar 31 nuevas llamadas por mes. Si el 30% de los que agendan una llamada se presentan a la llamada, entonces vas a necesitar 5 nuevas llamadas agendadas al día al día.",,,,,Mensual,
↓,,,,,,,384
↓,,,,,,,
↓,,,,,,,
↓,,,,,,,
8,"Para hacer $7.5K en un mes con tráfico orgánico, vendiendo ordenes de compra x $1500, necesitas al menos enviar DMs a 84 personas nuevas por día, si el 5.7% de los mensajes que envias agendan y el 30% de los agendados se presentan a la llamada, de los cuales el 16% terminan comprando tu servicio.",,,,,Diario,
↓,,,,,,,
↓,,,,,,,
↓,,,,,,,
,,,,,,,
,,,,,,,
Copyright © 2026 Jole Palomino,,,,,,,